PCNM15,PCNM29,PCNM5,PCNM19,PCNM54,PCNM4,PCNM25,SAND,TEMPMIN,elevation,fdiv_sp
-0.035458996,0.031696866,0.045388591,-0.010747616,1.10E-09,0.003900175,0.184366414,2.02565189,-1.041525623,1.33744606,0.373507988
-0.087263322,-0.021101324,0.037732017,-0.111238001,-2.38E-06,0.009307226,-0.101678477,2.02565189,-1.041525623,1.028729866,0.429079656
0.088781364,-0.026582141,0.059369703,0.127668319,-9.09E-10,-0.010982297,0.018912523,1.649809819,-1.041525623,1.271843869,-0.609107953
0.229297501,-0.045780585,0.132917416,0.05282178,2.59E-08,-0.169022679,-0.065396348,1.884711113,-2.388680344,2.186415592,1.211597835
0.207088774,-0.050608932,0.121773161,-0.111303498,1.55E-08,-0.163671124,-0.154955106,1.649809819,-2.304483173,2.225005116,0.691576454
-0.017126334,0.027092392,0.151242228,0.028456815,9.28E-05,-0.173147023,-0.005714672,-0.205910405,-0.367948263,0.488476528,0.975856087
-0.016612913,0.026872358,0.15108802,0.028553791,-8.19E-05,-0.173065784,-0.006345856,0.734164574,-0.283751093,0.515489195,-0.177012247
0.0032233,-0.0281163,-0.105811782,0.066435198,-7.82E-06,0.091624798,-0.010604678,-0.793163641,0.474023438,-0.5148511,0.61933607
0.137646626,-0.031590844,-0.093221027,0.037605435,7.81E-06,0.099533098,0.214552613,-0.440341897,0.810812118,-0.669209197,1.561468617
0.076015322,-0.022079901,-0.126609265,0.109592844,-2.01E-08,0.104220758,-0.220126501,-0.205440603,0.810812118,-0.696221864,-0.070316614
0.130021103,0.06540955,-0.04721918,0.050857607,-3.11E-07,0.104631287,-0.080986433,-0.440341897,0.642417778,-0.476261576,-0.453351954
-0.041358531,0.029310203,0.063934079,0.110600778,-3.76E-08,-0.057177373,0.06705259,-0.087989956,0.221431927,-0.05177681,-0.439106093
0.055662133,-0.045786256,0.075134928,0.033257688,2.76E-07,-0.069776994,-0.091793944,-0.205440603,0.053037587,0.067850715,0.89221483
-0.148561018,0.096607725,0.051609051,0.073978459,-3.43E-07,-0.043984908,0.133628139,1.086046713,0.305629098,-0.155968526,0.875990401
-0.159811773,-0.038489196,0.032777342,0.117494559,2.83E-07,-0.031186779,-0.059817414,-0.32289125,0.305629098,-0.206134907,0.208508922
0.060136887,0.009821779,-0.035767174,0.013139955,-1.13E-06,0.026045777,0.117203193,-0.32289125,0.389826268,-0.159827478,-1.221946543
-0.05596366,-0.017343531,-0.04304004,-0.0716128,-2.63E-06,0.035950719,-0.138939785,-0.675243191,0.389826268,-0.101943192,-0.8229061
-0.040542746,-0.025801916,-0.00560127,0.060597707,-6.00E-09,0.048752182,-0.10191108,-1.154441832,0.726614948,-0.796554627,0.166509213
-0.04986347,0.096759872,-0.003358609,0.036027103,-6.75E-09,0.057443621,-0.107678378,-1.060011511,0.726614948,-0.796554627,0.06044115
0.070861696,-0.045242696,0.028245354,-0.074175032,1.69E-08,0.102054594,-0.018415819,-0.966520796,0.726614948,-0.703939769,2.002501242
0.085374311,0.017805044,0.038494524,0.137716343,-3.88E-09,0.113309298,0.10653908,-0.966520796,0.305629098,-0.437672052,0.261231163
0.02578518,0.045690228,-0.050237595,0.080871177,3.17E-06,0.034511482,0.068784143,0.146911339,0.474023438,-0.360493004,0.871241813
0.025910805,0.045568537,-0.050593758,0.080435757,-1.97E-06,0.034596515,0.068335147,-0.322421447,0.558220608,-0.360493004,0.167904084
-0.055331078,-0.017820842,-0.044650947,-0.073429304,2.63E-06,0.036342238,-0.140772197,-0.792693838,0.558220608,-0.437672052,-0.4113391
0.04976648,0.02715442,-0.056096469,-0.014498461,2.75E-06,0.046640318,0.017039521,-1.14504578,0.474023438,-0.360493004,-1.145579945
0.079142694,0.001237714,0.052268864,0.014738689,1.42E-05,0.036944831,-0.178427979,1.344438137,-0.536342603,0.924538151,-0.38164366
0.028454961,-0.00169211,0.024720691,0.106668639,9.67E-06,0.054415068,0.01797996,2.02565189,-0.704736943,1.0017172,-0.130683791
0.028219807,-0.001851827,0.024846626,0.106756403,2.95E-05,0.054312961,0.017943751,1.790750596,-0.704736943,1.171511106,1.738813368
0.062966983,-0.037563314,0.038654755,0.03779167,1.11E-06,0.045723306,0.066784398,1.344438137,-0.620539773,1.059601486,0.962357629
0.079416312,0.00138993,0.052147142,0.014575899,-6.33E-06,0.037034624,-0.178547404,1.462358586,-0.536342603,0.74702634,0.897876266
-0.189137489,0.019955118,0.064966994,0.036421165,1.53E-09,-0.015588075,-0.055377351,0.170401468,-0.115356753,0.349554241,-0.734744265
-0.037732816,0.002145828,-0.04837587,-0.244447145,8.92E-06,0.046757343,0.077830149,-0.064499826,0.474023438,-0.202275955,-1.039952954
-0.040455372,-0.020612874,-0.055528704,0.02914264,-8.95E-06,0.048576083,-0.240695515,-0.298931318,0.474023438,-0.237006526,-0.934578396
-0.030518636,-0.010775208,-0.035663179,0.007538203,5.85E-06,0.036599956,0.063988495,-0.557792544,0.474023438,-0.283313955,-0.761341517
-0.030608961,-0.011015361,-0.035301518,0.008270313,4.10E-06,0.036842024,0.063284291,0.992086195,0.389826268,-0.260160241,0.70830812
