PCNM7,PCNM3,PCNM8,PCNM15,PCNM48,PCNM10,PCNM4,PCNM34,PCNM5,TEMPSD,uniqueness
0.042995453,0.012374665,0.011334648,0.130021103,7.69E-05,-0.050074789,0.104631287,-0.288730461,-0.04721918,0.752654529,-0.015788865
0.049744786,-0.060789769,0.016184648,-0.041358531,1.16E-05,0.029088989,-0.057177373,-0.066776879,0.063934079,0.67117897,0.154755238
0.052390172,-0.062528253,-0.015092541,0.055662133,-0.000463399,0.039917283,-0.069776994,0.183307773,0.075134928,0.18232562,-0.937610746
0.04800896,-0.05873244,0.044920629,-0.148561018,-4.65E-05,0.019180052,-0.043984908,-0.054576867,0.051609051,0.345276737,-1.115717216
0.097923318,-0.048977181,-0.018038852,-0.159811773,4.78E-05,0.051826737,-0.031186779,0.055509694,0.032777342,0.345276737,0.783809347
0.024069264,0.020630128,-0.066613449,0.060136887,-0.021896364,0.04315523,0.026045777,-0.016931854,-0.035767174,1.225212768,0.579539523
-0.044638297,0.014726998,-0.056903299,-0.05596366,-0.008022591,0.000185893,0.035950719,0.008766141,-0.04304004,1.225212768,0.465621722
0.054391416,0.17669992,0.063776261,-0.040542746,-7.17E-05,-0.073625664,0.048752182,0.01204449,-0.00560127,0.752654529,0.249055835
0.05567452,0.172238208,0.066614302,-0.04986347,3.99E-05,-0.07444171,0.057443621,0.095426162,-0.003358609,0.5734083,1.144850682
0.087141938,0.14706088,-0.048886793,0.070861696,-6.25E-05,-0.065676894,0.102054594,-0.427561673,0.028245354,0.5734083,-1.232394732
0.091233244,0.138866284,-0.07896188,0.085374311,0.000105156,-0.068269814,0.113309298,0.126958171,0.038494524,0.166030508,-0.198284676
-0.007551924,0.020369508,-0.082101249,0.02578518,0.00479742,0.029208399,0.034511482,-0.041325603,-0.050237595,1.33927855,0.94252558
-0.007544213,0.020386023,-0.082426966,0.025910805,0.017457473,0.029149981,0.034596515,-0.040820606,-0.050593758,1.33927855,0.041460364
-0.044573277,0.014808939,-0.05839412,-0.055331078,0.008032875,-3.98E-05,0.036342238,0.010977785,-0.044650947,1.33927855,0.167236596
-0.006162937,0.024977386,-0.098830965,0.04976648,0.02838737,0.020549164,0.046640318,-0.123501463,-0.056096469,1.062261651,1.130227279
-0.047980148,-0.007327787,0.100365336,0.079142694,0.014464016,-0.017559464,0.036944831,0.006152843,0.052268864,-0.078396167,-0.545168494
-0.114456524,-0.008021417,0.071644044,0.028454961,0.006577473,-0.044576549,0.054415068,0.031498919,0.024720691,-0.290232619,0.540682979
-0.1144745,-0.00804317,0.071868749,0.028219807,0.027584646,-0.044603202,0.054312961,0.031491916,0.024846626,-0.290232619,-0.232396399
-0.082251658,-0.007622643,0.085962906,0.062966983,0.021869796,-0.030544897,0.045723306,0.055545617,0.038654755,0.068259838,-0.736012537
-0.047917096,-0.007305943,0.100147027,0.079416312,-0.007260671,-0.017521333,0.037034624,0.006173343,0.052147142,-0.078396167,0.773673303
0.047258773,0.008199262,0.04191089,-0.189137489,2.28E-05,0.105422999,-0.015588075,-0.031620907,0.064966994,1.013376316,1.691217322
0.041787027,0.01442479,-0.046800372,-0.037732816,0.026913664,-0.006130073,0.046757343,0.268627667,-0.04837587,1.062261651,0.638094204
0.042305997,0.022461697,-0.096523238,-0.040455372,-0.02696844,0.029482287,0.048576083,-0.042980232,-0.055528704,1.062261651,0.18877975
-0.076213646,0.008712491,-0.028942826,-0.030518636,0.004144542,-0.026765268,0.036599956,-0.036641551,-0.035663179,1.062261651,0.346321793
-0.076782025,0.008566376,-0.027848667,-0.030608961,0.000785608,-0.026913809,0.036842024,-0.035808282,-0.035301518,1.029671427,-0.898539713
-0.075800987,0.008696449,-0.02743963,-0.031438853,-0.019935632,-0.02631488,0.035679574,-0.041088661,-0.033298633,1.078556763,-0.03523818
-0.077043748,0.008422811,-0.026016339,-0.031198704,-0.016060385,-0.02680454,0.036519389,-0.037538553,-0.033636017,-0.013215721,-1.789832411
-0.029056571,0.012110511,-0.02524101,-0.038173004,-4.95E-06,-0.000515803,0.027914611,-0.019341136,-0.02489136,1.078556763,0.259125671
-0.001650384,-0.091765499,0.007611457,0.006287499,0.008292976,0.0176035,0.105945537,-0.148542267,0.019252621,0.328981625,-1.929702024
0.007187906,-0.082363895,0.019410444,-0.017624586,7.15E-05,-0.002264651,0.110523003,0.040852944,0.019626065,0.328981625,-0.915299517
