Familia,genero,Especie,coespec,AF(mm2),AFE(mm2mg-1),CFMS(Mgg-1),DM(gcm3-1),N(mgg-1),P(mgg-1),rasgo de:
ELAEOCARPACEAE,Sloanea,meianthera,SLOAMI,15102.32,13.08,450.89,0.77,19.45,0.75,
ELAEOCARPACEAE,Sloanea,rugosa,SLOARU,15102.32,13.08,450.89,0.77,19.45,0.75,
ELAEOCARPACEAE,Sloanea,sp.,SLOASP,15102.32,13.08,450.89,0.77,19.45,0.75,
ARECACEAE,Socratea,exorrhiza,SOCREX,2188167.13,11.46,390,0.4,21.01,1.06,FERNANDO
MALPIGHIACEAE,Spachea,correae,SPACCO,13885.43,11.15,290.81,0.65,26.4,1.3,ADINA
ANACARDIACEAE,Spondias,mombin,SPONMO,66024.02,15.28,365.47,0.38,17.7,1.5,ADINA
DICHAPETALACEAE,Stephanopodium,costaricense,STEPCO,4787.2,11.41,279.53,0.49,13.2,0.7,ADINA
STERCULIACEAE,Sterculia,recordiana,STERRE,91929.54,13.49,430,0.39,20.38,0.99,FERNANDO
FABACEAE/MIM.,Stryphnodendron,microstachyum,STRYMI,114093.15,18.2,390,0.38,37.78,1.47,FERNANDO
FABACEAE/PAP.,Swartzia,sp.,SWARSP,41628.15,14.88,399.02,0.65,28.66,1.32,
BIGNONIACEAE,Tabebuia,chrysantha,TABECH,35097.06,15.24,405.64,0.85,34.5,1.4,ADINA
APOCYNACEAE,Tabernaemontana,alba,TABRAL,10099.91,16.3,332.62,0.56,22.59,1,
MAGNOLIACEAE,Talauma,gloriensis,TALAGL,19173.84,9.5,359.44,0.53,23.5,0.8,ADINA
ANACARDIACEAE,Tapirira,guianensis,TAPIGU,67030.96,16.93,390,0.51,19.22,0.85,FERNANDO
DICHAPETALACEAE,Tapura,guianensis,TAPUGU,6030.36,9.82,380,0.63,16.48,0.54,FERNANDO
COMBRETACEAE,Terminalia,amazonia,TERMAM,3016.55,17,400,0.74,24.22,1.44,FERNANDO
COMBRETACEAE,Terminalia,bucidoides,TERMBU,3303.23,16.48,223.7,0.69,23.6,1.7,AQUINO
