familia,especie,coespec,af,afe,cfms,dm,n,p
FABACEAE/PAP.,Lonchocarpus_sp.,LONCSP,68587.55,17.95,348.76,0.7,36.25,1.65
FABACEAE/CAES.,Macrolobium_sp.,MACRSP,12699.26,17.86,370,0.62,28.27,1.32
SAPINDACEAE,Matayba_sp.,MATASP,29047.2,17.7,313.95,0.59,21.9,1.4
LAURACEAE,Nectandra_sp.,NECTSP,4143.15,12.31,425.17,0.46,20.38,0.97
LAURACEAE,Ocotea_sp.,OCOTSP,9160.94,10.58,422.85,0.43,21.46,1.01
SAPOTACEAE,Pouteria_sp.,POUTSP,14320.43,11.26,458.15,0.73,23.7,0.84
BURSERACEAE,Protium_sp.,PROTSP,66051.3,16.42,407.62,0.46,18,1.07
EUPHORBIACEAE,Sapium_sp.,SAPISP,24316.59,15.04,308.38,0.44,27.29,1.76
ELAEOCARPACEAE,Sloanea_sp.,SLOASP,15102.32,13.08,450.89,0.77,19.45,0.75
FABACEAE/PAP.,Swartzia_sp.,SWARSP,41628.15,14.88,399.02,0.65,28.66,1.32
COMBRETACEAE,Terminalia_sp.,TERMSP,3944.16,16.07,350.5,0.65,24.24,1.58
STERCULIACEAE,Theobroma_sp.,THEOSP,17632.42,12.8,435.13,0.48,22.2,1.2
ANNONACEAE,Unonopsis_sp.,UNONSP,9687.8,14.86,427.94,0.42,29.9,1.5
MYRISTICACEAE,Virola_sp.,VIROSP,14877.9,14.96,350.93,0.41,22.61,0.85
Fabaceae/Mim.,Zygia_sp.,ZYGISP,38014.91,16.23,471.14,0.53,31.41,1.16
APOCYNACEAE,Aspidosperma_sp.01,ASPI01,9926.17,11.45,380,0.67,18.64,0.69
FABACEAE/PAP.,Dussia_sp.01,DUSS01,122491.92,13.41,320,0.55,28.23,2.3
LECYTHIDACEAE,Eschweilera_sp.01,ESCH01,7608.16,8.74,469.77,0.69,22.3,0.9
MYRTACEAE,Eugenia_sp.01,EUGE01,3379.34,13.7,351.94,0.73,23.9,0.9
MELIACEAE,Guarea_sp.01,GUAR01,61130.53,17.45,344.81,0.61,28.11,1.5
FABACEAE/MIM.,Inga_sp.01,INGA01,37513.69,16.88,480.71,0.54,31.47,1.19
SAPOTACEAE,Pouteria_sp.01,POUT01,14320.43,11.26,458.15,0.73,23.7,0.84
FABACEAE/PAP.,Dussia_sp.02,DUSS02,122491.92,13.41,320,0.55,28.23,2.3
LECYTHIDACEAE,Eschweilera_sp.02,ESCH02,7608.16,8.74,469.77,0.69,22.3,0.9
MELIACEAE,Guarea_sp.02,GUAR02,61130.53,17.45,344.81,0.61,28.11,1.5
FABACEAE/MIM.,Inga_sp.02,INGA02,37513.69,16.88,480.71,0.54,31.47,1.19
SAPOTACEAE,Pouteria_sp.02,POUT02,14320.43,11.26,458.15,0.73,23.7,0.84
LECYTHIDACEAE,Eschweilera_sp.03,ESCH03,7608.16,8.74,469.77,0.69,22.3,0.9
MELIACEAE,Guarea_sp.03,GUAR03,61130.53,17.45,344.81,0.61,28.11,1.5
FABACEAE/MIM.,Inga_sp.03,INGA03,37513.69,16.88,480.71,0.54,31.47,1.19
SAPOTACEAE,Pouteria_sp.03,POUT03,14320.43,11.26,458.15,0.73,23.7,0.84
FABACEAE/MIM.,Inga_sp.04,INGA04,37513.69,16.88,480.71,0.54,31.47,1.19
SAPOTACEAE,Pouteria_sp.04,POUT04,14320.43,11.26,458.15,0.73,23.7,0.84
FABACEAE/MIM.,Inga_sp.05,INGA05,37513.69,16.88,480.71,0.54,31.47,1.19
SAPOTACEAE,Pouteria_sp.05,POUT05,14320.43,11.26,458.15,0.73,23.7,0.84
FABACEAE/MIM.,Inga_sp.06,INGA06,37513.69,16.88,480.71,0.54,31.47,1.19
SAPOTACEAE,Pouteria_sp.06,POUT06,14320.43,11.26,458.15,0.73,23.7,0.84
FABACEAE/MIM.,Inga_sp.07,INGA07,37513.69,16.88,480.71,0.54,31.47,1.19
SAPOTACEAE,Pouteria_sp.07,POUT07,14320.43,11.26,458.15,0.73,23.7,0.84
FABACEAE/MIM.,Inga_sp.08,INGA08,37513.69,16.88,480.71,0.54,31.47,1.19
SAPOTACEAE,Pouteria_sp.08,POUT08,14320.43,11.26,458.15,0.73,23.7,0.84
FABACEAE/MIM.,Inga_sp.09,INGA09,37513.69,16.88,480.71,0.54,31.47,1.19
SAPOTACEAE,Pouteria_sp.09,POUT09,14320.43,11.26,458.15,0.73,23.7,0.84
FABACEAE/MIM.,Inga_sp.10,INGA10,37513.69,16.88,480.71,0.54,31.47,1.19
SAPOTACEAE,Pouteria_sp.10,POUT10,14320.43,11.26,458.15,0.73,23.7,0.84
SAPOTACEAE,Pouteria_sp.11,POUT11,14320.43,11.26,458.15,0.73,23.7,0.84
SAPOTACEAE,Pouteria_sp.12,POUT12,14320.43,11.26,458.15,0.73,23.7,0.84
SAPOTACEAE,Pouteria_sp.13,POUT13,14320.43,11.26,458.15,0.73,23.7,0.84
SAPOTACEAE,Pouteria_sp.14,POUT14,14320.43,11.26,458.15,0.73,23.7,0.84
SAPOTACEAE,Pouteria_sp.15,POUT15,14320.43,11.26,458.15,0.73,23.7,0.84
SAPOTACEAE,Pouteria_sp.16,POUT16,14320.43,11.26,458.15,0.73,23.7,0.84
SAPOTACEAE,Pouteria_sp.17,POUT17,14320.43,11.26,458.15,0.73,23.7,0.84
SAPOTACEAE,Pouteria_sp.18,POUT18,14320.43,11.26,458.15,0.73,23.7,0.84
CHRYSOBALANACEAE,Licania_sparsipilis,LICNSA,2409.04,7.73,593.45,0.82,17.9,0.6
APOCYNACEAE,Aspidosperma_spruceanum,ASPISR,9926.17,11.45,380,0.67,18.64,0.69
MORACEAE,Pseudolmedia_spuria,PSEUSU,3011.34,13.06,454.55,0.77,18.8,0.7
FABACEAE/MIM.,Inga_thibaudiana,INGATH,30823.47,13.42,480,0.45,27.4,0.84
SAPOTACEAE,Pouteria_torta,POUTTO,23790.72,9.59,463.27,0.74,19.1,1
CHRYSOBALANACEAE,Hirtella_triandra,HIRTTR,4336.5,15.61,460,0.81,19.39,0.47
HUMIRIACEAE,Sacoglottis_trichogyna,SACOTR,9986.79,12.42,440,0.71,13.7,0.61
MYRSINACEAE,Parathesis_trychogyne,PARATR,6170.16,9.53,353.12,0.53,14.4,0.9
POLYGONACEAE,Coccoloba_tuerckheimii,COCCTU,46300.58,8.41,400,0.61,18.54,1.4
Clusiaceae,Tovomita_weddelliana,TOVOWE,15067.11,13.52,369.65,0.56,18.36,0.89
SAPOTACEAE,Manilkara_zapota,MANIZA,13141.27,11.25,444.87,0.73,22.9,0.83
