cwm,plot,traits,forest_type,longitude,latitude
1.189333333,F33P3,p,P. macroloba,-84.0054834,10.2817664
40754.27923,F33P4,af,Foothills,-84.0134494,10.2801424
16.35692308,F33P4,afe,Foothills,-84.0134494,10.2801424
420.8076923,F33P4,cfms,Foothills,-84.0134494,10.2801424
0.516153846,F33P4,dm,Foothills,-84.0134494,10.2801424
26.27,F33P4,n,Foothills,-84.0134494,10.2801424
1.113076923,F33P4,p,Foothills,-84.0134494,10.2801424
303167.1563,F34P1,af,Foothills,-84.0808897,10.321349
15.17578947,F34P1,afe,Foothills,-84.0808897,10.321349
374.7021053,F34P1,cfms,Foothills,-84.0808897,10.321349
0.544210526,F34P1,dm,Foothills,-84.0808897,10.321349
25.44736842,F34P1,n,Foothills,-84.0808897,10.321349
1.274736842,F34P1,p,Foothills,-84.0808897,10.321349
235347.3193,F34P2,af,Foothills,-84.0816328,10.3159554
15.902,F34P2,afe,Foothills,-84.0816328,10.3159554
340.254,F34P2,cfms,Foothills,-84.0816328,10.3159554
0.506,F34P2,dm,Foothills,-84.0816328,10.3159554
23.09866667,F34P2,n,Foothills,-84.0816328,10.3159554
1.233333333,F34P2,p,Foothills,-84.0816328,10.3159554
338954.4476,F34P3,af,Foothills,-84.0806336,10.3135173
14.77823529,F34P3,afe,Foothills,-84.0806336,10.3135173
382.7005882,F34P3,cfms,Foothills,-84.0806336,10.3135173
0.467058824,F34P3,dm,Foothills,-84.0806336,10.3135173
23.35470588,F34P3,n,Foothills,-84.0806336,10.3135173
1.177647059,F34P3,p,Foothills,-84.0806336,10.3135173
231835.2433,F34P4,af,Foothills,-84.0846711,10.3187463
15.34333333,F34P4,afe,Foothills,-84.0846711,10.3187463
386.4305556,F34P4,cfms,Foothills,-84.0846711,10.3187463
0.453333333,F34P4,dm,Foothills,-84.0846711,10.3187463
25.41777778,F34P4,n,Foothills,-84.0846711,10.3187463
1.191666667,F34P4,p,Foothills,-84.0846711,10.3187463
364809.5533,F35P1,af,Foothills,-84.1650578,10.2855145
13.40133333,F35P1,afe,Foothills,-84.1650578,10.2855145
391.7213333,F35P1,cfms,Foothills,-84.1650578,10.2855145
0.527333333,F35P1,dm,Foothills,-84.1650578,10.2855145
20.78866667,F35P1,n,Foothills,-84.1650578,10.2855145
0.923333333,F35P1,p,Foothills,-84.1650578,10.2855145
365641.7788,F35P2,af,Foothills,-84.1730493,10.2882215
15.336875,F35P2,afe,Foothills,-84.1730493,10.2882215
358.031875,F35P2,cfms,Foothills,-84.1730493,10.2882215
0.545,F35P2,dm,Foothills,-84.1730493,10.2882215
25.56125,F35P2,n,Foothills,-84.1730493,10.2882215
1.25875,F35P2,p,Foothills,-84.1730493,10.2882215
419632.669,F36P1,af,Foothills,-84.1570649,10.3290489
13.967,F36P1,afe,Foothills,-84.1570649,10.3290489
398.7995,F36P1,cfms,Foothills,-84.1570649,10.3290489
0.541,F36P1,dm,Foothills,-84.1570649,10.3290489
21.5915,F36P1,n,Foothills,-84.1570649,10.3290489
1.155,F36P1,p,Foothills,-84.1570649,10.3290489
394130.1794,F36P2,af,Foothills,-84.1589519,10.3308419
13.45375,F36P2,afe,Foothills,-84.1589519,10.3308419
400.079375,F36P2,cfms,Foothills,-84.1589519,10.3308419
0.49125,F36P2,dm,Foothills,-84.1589519,10.3308419
23.361875,F36P2,n,Foothills,-84.1589519,10.3308419
1.16375,F36P2,p,Foothills,-84.1589519,10.3308419
709415.3425,F37P1,af,P. macroloba,-84.0468537,10.4043607
13.551875,F37P1,afe,P. macroloba,-84.0468537,10.4043607
423.38875,F37P1,cfms,P. macroloba,-84.0468537,10.4043607
0.52875,F37P1,dm,P. macroloba,-84.0468537,10.4043607
23.90875,F37P1,n,P. macroloba,-84.0468537,10.4043607
1.046875,F37P1,p,P. macroloba,-84.0468537,10.4043607
709804.2581,F37P2,af,P. macroloba,-84.0512664,10.4162307
12.236875,F37P2,afe,P. macroloba,-84.0512664,10.4162307
416.57875,F37P2,cfms,P. macroloba,-84.0512664,10.4162307
0.471875,F37P2,dm,P. macroloba,-84.0512664,10.4162307
22.860625,F37P2,n,P. macroloba,-84.0512664,10.4162307
0.934375,F37P2,p,P. macroloba,-84.0512664,10.4162307
505443.32,F37P3,af,P. macroloba,-84.0502667,10.418732
11.844375,F37P3,afe,P. macroloba,-84.0502667,10.418732
412.766875,F37P3,cfms,P. macroloba,-84.0502667,10.418732
0.5425,F37P3,dm,P. macroloba,-84.0502667,10.418732
23.276875,F37P3,n,P. macroloba,-84.0502667,10.418732
0.8925,F37P3,p,P. macroloba,-84.0502667,10.418732
706958.6194,F37P4,af,P. macroloba,-84.0571824,10.4108581
12.486875,F37P4,afe,P. macroloba,-84.0571824,10.4108581
420.41875,F37P4,cfms,P. macroloba,-84.0571824,10.4108581
0.54625,F37P4,dm,P. macroloba,-84.0571824,10.4108581
22.8475,F37P4,n,P. macroloba,-84.0571824,10.4108581
0.981875,F37P4,p,P. macroloba,-84.0571824,10.4108581
647725.1928,F38P1,af,P. macroloba,-84.098572,10.376008
15.20944444,F38P1,afe,P. macroloba,-84.098572,10.376008
373.5394444,F38P1,cfms,P. macroloba,-84.098572,10.376008
0.450555556,F38P1,dm,P. macroloba,-84.098572,10.376008
25.62333333,F38P1,n,P. macroloba,-84.098572,10.376008
1.191666667,F38P1,p,P. macroloba,-84.098572,10.376008
535512.8341,F38P2,af,Foothills,-84.1013397,10.3676343
13.74045455,F38P2,afe,Foothills,-84.1013397,10.3676343
406.3936364,F38P2,cfms,Foothills,-84.1013397,10.3676343
0.460454545,F38P2,dm,Foothills,-84.1013397,10.3676343
24.31227273,F38P2,n,Foothills,-84.1013397,10.3676343
1.094090909,F38P2,p,Foothills,-84.1013397,10.3676343
804552.414,F38P3,af,Q. paraensis,-84.093436,10.3809823
10.984,F38P3,afe,Q. paraensis,-84.093436,10.3809823
429.031,F38P3,cfms,Q. paraensis,-84.093436,10.3809823
0.555,F38P3,dm,Q. paraensis,-84.093436,10.3809823
19.182,F38P3,n,Q. paraensis,-84.093436,10.3809823
0.766,F38P3,p,Q. paraensis,-84.093436,10.3809823
453588.8238,F38P4,af,P. macroloba,-84.0913523,10.3853795
14.1452381,F38P4,afe,P. macroloba,-84.0913523,10.3853795
393.0095238,F38P4,cfms,P. macroloba,-84.0913523,10.3853795
0.551904762,F38P4,dm,P. macroloba,-84.0913523,10.3853795
22.90047619,F38P4,n,P. macroloba,-84.0913523,10.3853795
1.097619048,F38P4,p,P. macroloba,-84.0913523,10.3853795
449099.5461,F39P1,af,P. macroloba,-83.9960084,10.3313444
13.32055556,F39P1,afe,P. macroloba,-83.9960084,10.3313444
415.4505556,F39P1,cfms,P. macroloba,-83.9960084,10.3313444
0.594444444,F39P1,dm,P. macroloba,-83.9960084,10.3313444
23.92388889,F39P1,n,P. macroloba,-83.9960084,10.3313444
0.922777778,F39P1,p,P. macroloba,-83.9960084,10.3313444
429332.4068,F39P2,af,P. macroloba,-83.9980687,10.3332305
15.59,F39P2,afe,P. macroloba,-83.9980687,10.3332305
384.5168421,F39P2,cfms,P. macroloba,-83.9980687,10.3332305
0.479473684,F39P2,dm,P. macroloba,-83.9980687,10.3332305
27.33736842,F39P2,n,P. macroloba,-83.9980687,10.3332305
1.245789474,F39P2,p,P. macroloba,-83.9980687,10.3332305
603731.18,F3P1,af,P. macroloba,-84.0363955,10.5839798
12.691875,F3P1,afe,P. macroloba,-84.0363955,10.5839798
423.37,F3P1,cfms,P. macroloba,-84.0363955,10.5839798
0.5425,F3P1,dm,P. macroloba,-84.0363955,10.5839798
23.45625,F3P1,n,P. macroloba,-84.0363955,10.5839798
1.118125,F3P1,p,P. macroloba,-84.0363955,10.5839798
651072.455,F3P2,af,P. macroloba,-84.0389963,10.5868753
11.93928571,F3P2,afe,P. macroloba,-84.0389963,10.5868753
422.6821429,F3P2,cfms,P. macroloba,-84.0389963,10.5868753
0.547857143,F3P2,dm,P. macroloba,-84.0389963,10.5868753
23.69,F3P2,n,P. macroloba,-84.0389963,10.5868753
1.025,F3P2,p,P. macroloba,-84.0389963,10.5868753
1021308.035,F3P3,af,P. macroloba,-84.0434666,10.5870618
12.39545455,F3P3,afe,P. macroloba,-84.0434666,10.5870618
405.9945455,F3P3,cfms,P. macroloba,-84.0434666,10.5870618
0.534545455,F3P3,dm,P. macroloba,-84.0434666,10.5870618
24.17454545,F3P3,n,P. macroloba,-84.0434666,10.5870618
1.014545455,F3P3,p,P. macroloba,-84.0434666,10.5870618
667114.9712,F3P4,af,P. macroloba,-84.0468366,10.5867776
11.43764706,F3P4,afe,P. macroloba,-84.0468366,10.5867776
419.7964706,F3P4,cfms,P. macroloba,-84.0468366,10.5867776
0.583529412,F3P4,dm,P. macroloba,-84.0468366,10.5867776
22.22470588,F3P4,n,P. macroloba,-84.0468366,10.5867776
0.958823529,F3P4,p,P. macroloba,-84.0468366,10.5867776
728183.77,F40P1,af,P. macroloba,-83.9962286,10.343027
13.63769231,F40P1,afe,P. macroloba,-83.9962286,10.343027
409.4853846,F40P1,cfms,P. macroloba,-83.9962286,10.343027
0.469230769,F40P1,dm,P. macroloba,-83.9962286,10.343027
22.40230769,F40P1,n,P. macroloba,-83.9962286,10.343027
0.929230769,F40P1,p,P. macroloba,-83.9962286,10.343027
536178.0736,F40P2,af,P. macroloba,-83.9963695,10.3473148
12.22409091,F40P2,afe,P. macroloba,-83.9963695,10.3473148
430.0468182,F40P2,cfms,P. macroloba,-83.9963695,10.3473148
0.560454545,F40P2,dm,P. macroloba,-83.9963695,10.3473148
21.50727273,F40P2,n,P. macroloba,-83.9963695,10.3473148
0.861363636,F40P2,p,P. macroloba,-83.9963695,10.3473148
727159.1138,F40P3,af,P. macroloba,-83.9986894,10.3524672
11.904375,F40P3,afe,P. macroloba,-83.9986894,10.3524672
410.124375,F40P3,cfms,P. macroloba,-83.9986894,10.3524672
0.51125,F40P3,dm,P. macroloba,-83.9986894,10.3524672
22.206875,F40P3,n,P. macroloba,-83.9986894,10.3524672
0.9125,F40P3,p,P. macroloba,-83.9986894,10.3524672
565214.912,F40P4,af,P. macroloba,-84.0038574,10.3543243
14.34,F40P4,afe,P. macroloba,-84.0038574,10.3543243
394,F40P4,cfms,P. macroloba,-84.0038574,10.3543243
0.456,F40P4,dm,P. macroloba,-84.0038574,10.3543243
26.307,F40P4,n,P. macroloba,-84.0038574,10.3543243
1.153,F40P4,p,P. macroloba,-84.0038574,10.3543243
53415.73176,F41P1,af,Foothills,-84.0093151,10.2659814
15.64176471,F41P1,afe,Foothills,-84.0093151,10.2659814
395.2529412,F41P1,cfms,Foothills,-84.0093151,10.2659814
0.507058824,F41P1,dm,Foothills,-84.0093151,10.2659814
23.56882353,F41P1,n,Foothills,-84.0093151,10.2659814
1.098823529,F41P1,p,Foothills,-84.0093151,10.2659814
377253.2992,F41P2,af,Foothills,-84.0134041,10.267491
12.44,F41P2,afe,Foothills,-84.0134041,10.267491
421.6861538,F41P2,cfms,Foothills,-84.0134041,10.267491
0.486923077,F41P2,dm,Foothills,-84.0134041,10.267491
21.91384615,F41P2,n,Foothills,-84.0134041,10.267491
0.959230769,F41P2,p,Foothills,-84.0134041,10.267491
334521.3479,F41P3,af,Foothills,-84.0143658,10.2640865
14.87105263,F41P3,afe,Foothills,-84.0143658,10.2640865
388.3484211,F41P3,cfms,Foothills,-84.0143658,10.2640865
0.483684211,F41P3,dm,Foothills,-84.0143658,10.2640865
24.78052632,F41P3,n,Foothills,-84.0143658,10.2640865
1.123684211,F41P3,p,Foothills,-84.0143658,10.2640865
378530.0208,F41P4,af,Foothills,-84.0109991,10.2634054
15.36769231,F41P4,afe,Foothills,-84.0109991,10.2634054
395.3715385,F41P4,cfms,Foothills,-84.0109991,10.2634054
0.530769231,F41P4,dm,Foothills,-84.0109991,10.2634054
20.89307692,F41P4,n,Foothills,-84.0109991,10.2634054
